region_id,year,rainfall_mm,temperature_c
15,2024,419.2,28.73
15,2025,487.7,28.69
16,2010,1112.2,26.05
16,2011,1090.6,26.92
16,2012,1004.9,25.79
16,2013,946.8,26.14
16,2014,907.5,26.51
16,2015,886.3,25.93
16,2016,1037.3,26.4
16,2017,957.1,26.96
16,2018,1054.8,26.39
16,2019,925.5,27.05
16,2020,921.8,27.7
16,2021,898.4,26.94
16,2022,908.2,27.15
16,2023,1003.4,27.36
16,2024,999.2,26.72
16,2025,985.1,27.24
17,2010,859.0,30.73
17,2011,849.6,31.02
17,2012,810.5,30.34
17,2013,933.0,29.78
17,2014,960.1,30.37
17,2015,965.4,31.22
17,2016,893.8,30.4
17,2017,835.3,31.26
17,2018,781.9,30.52
17,2019,884.4,30.83
17,2020,951.8,30.94
17,2021,988.2,30.57
17,2022,934.5,30.94
17,2023,816.5,30.43
17,2024,826.6,30.95
17,2025,741.6,31.09
