reservoir_id,year,inflow_mcm,release_mcm,storage_mcm,storage_pct
5,2016,712.11,120.6,1117.7,100.0
5,2017,715.33,121.05,1117.7,100.0
5,2018,763.38,128.36,1117.7,100.0
5,2019,834.8,128.93,1117.7,100.0
5,2020,739.99,128.7,1117.7,100.0
5,2021,733.13,135.99,1117.7,100.0
5,2022,790.81,141.11,1117.7,100.0
5,2023,771.72,151.55,1117.7,100.0
5,2024,669.19,154.54,1117.7,100.0
5,2025,667.36,158.07,1117.7,100.0
6,2010,379.61,61.22,657.2,100.0
6,2011,422.16,60.66,657.2,100.0
6,2012,412.9,62.02,657.2,100.0
6,2013,435.17,62.24,657.2,100.0
6,2014,390.48,65.63,657.2,100.0
6,2015,388.29,67.28,657.2,100.0
6,2016,345.69,69.07,657.2,100.0
6,2017,355.09,71.84,657.2,100.0
6,2018,364.16,72.47,657.2,100.0
6,2019,404.93,71.0,657.2,100.0
6,2020,425.36,76.0,657.2,100.0
6,2021,398.31,79.5,657.2,100.0
6,2022,327.14,82.5,657.2,100.0
6,2023,406.4,83.74,657.2,100.0
6,2024,394.72,83.54,657.2,100.0
6,2025,399.7,83.95,657.2,100.0
7,2010,530.93,61.22,1404.9,100.0
7,2011,659.77,60.66,1404.9,100.0
7,2012,610.09,62.02,1404.9,100.0
7,2013,673.81,62.24,1404.9,100.0
7,2014,573.95,65.63,1404.9,100.0
7,2015,529.4,67.28,1404.9,100.0
7,2016,471.88,69.07,1404.9,100.0
7,2017,574.71,71.84,1404.9,100.0
7,2018,567.96,72.47,1404.9,100.0
7,2019,597.9,71.0,1404.9,100.0
7,2020,634.52,76.0,1404.9,100.0
7,2021,560.1,79.5,1404.9,100.0
7,2022,510.97,82.5,1404.9,100.0
7,2023,515.6,83.74,1404.9,100.0
7,2024,579.16,83.54,1404.9,100.0
7,2025,574.58,83.95,1404.9,100.0
8,2010,184.24,429.3,183.97,31.4
8,2011,194.07,378.04,0.0,0.0
8,2012,175.41,175.41,0.0,0.0
8,2013,192.89,192.89,0.0,0.0
8,2014,195.97,195.97,0.0,0.0
8,2015,199.36,199.36,0.0,0.0
8,2016,158.06,158.06,0.0,0.0
8,2017,175.36,175.36,0.0,0.0
8,2018,196.97,196.97,0.0,0.0
8,2019,199.45,199.45,0.0,0.0
8,2020,195.03,195.03,0.0,0.0
8,2021,223.11,223.11,0.0,0.0
8,2022,171.39,171.39,0.0,0.0
8,2023,166.53,166.53,0.0,0.0
8,2024,162.51,162.51,0.0,0.0
8,2025,169.01,169.01,0.0,0.0
9,2010,622.92,598.65,851.88,74.4
9,2011,727.6,617.24,962.24,84.1
9,2012,637.39,627.29,972.34,85.0
9,2013,573.71,665.37,880.68,76.9
9,2014,589.12,717.53,752.27,65.7
9,2015,514.27,707.29,559.26,48.9
9,2016,562.34,710.52,411.08,35.9
9,2017,586.16,734.4,262.84,23.0
9,2018,607.17,770.99,99.02,8.7
9,2019,550.06,649.08,0.0,0.0
9,2020,531.01,531.01,0.0,0.0
9,2021,498.39,498.39,0.0,0.0
9,2022,566.68,566.68,0.0,0.0
9,2023,610.84,610.84,0.0,0.0
9,2024,512.33,512.33,0.0,0.0
9,2025,570.33,570.33,0.0,0.0
10,2010,645.31,27.04,1181.9,100.0
10,2011,693.63,27.6,1181.9,100.0
10,2012,695.68,27.86,1181.9,100.0
10,2013,655.03,29.08,1181.9,100.0
10,2014,685.99,31.16,1181.9,100.0
10,2015,666.91,32.85,1181.9,100.0
10,2016,609.59,32.86,1181.9,100.0
10,2017,634.88,35.42,1181.9,100.0
10,2018,631.02,35.08,1181.9,100.0
10,2019,661.95,36.97,1181.9,100.0
10,2020,666.12,36.76,1181.9,100.0
10,2021,652.19,38.21,1181.9,100.0
10,2022,598.13,39.55,1181.9,100.0
10,2023,524.54,44.14,1181.9,100.0
10,2024,558.72,43.97,1181.9,100.0
10,2025,630.03,42.86,1181.9,100.0
11,2010,285.86,27.04,557.1,100.0
11,2011,277.84,27.6,557.1,100.0
11,2012,346.53,27.86,557.1,100.0
11,2013,336.74,29.08,557.1,100.0
11,2014,323.06,31.16,557.1,100.0
11,2015,311.14,32.85,557.1,100.0
11,2016,255.84,32.86,557.1,100.0
11,2017,306.55,35.42,557.1,100.0
11,2018,279.4,35.08,557.1,100.0
11,2019,340.68,36.97,557.1,100.0
11,2020,319.36,36.76,557.1,100.0
11,2021,275.46,38.21,557.1,100.0
11,2022,270.25,39.55,557.1,100.0
11,2023,266.38,44.14,557.1,100.0
11,2024,247.72,43.97,557.1,100.0
11,2025,266.82,42.86,557.1,100.0
12,2010,622.63,254.71,1566.6,100.0
12,2011,625.46,256.24,1566.6,100.0
12,2012,542.51,264.8,1566.6,100.0
12,2013,672.4,279.6,1566.6,100.0
12,2014,671.3,282.68,1566.6,100.0
12,2015,789.85,289.74,1566.6,100.0
12,2016,605.84,303.76,1566.6,100.0
12,2017,586.12,319.06,1566.6,100.0
12,2018,477.86,335.56,1566.6,100.0
12,2019,556.37,323.94,1566.6,100.0
12,2020,672.34,350.43,1566.6,100.0
12,2021,709.28,346.66,1566.6,100.0
12,2022,675.07,357.72,1566.6,100.0
12,2023,701.37,381.13,1566.6,100.0
12,2024,540.18,406.1,1566.6,100.0
12,2025,580.16,409.98,1566.6,100.0
13,2010,89.61,230.57,0.0,0.0
13,2011,82.09,82.09,0.0,0.0
13,2012,74.07,74.07,0.0,0.0
13,2013,90.31,90.31,0.0,0.0
13,2014,92.56,92.56,0.0,0.0
13,2015,99.43,99.43,0.0,0.0
13,2016,91.13,91.13,0.0,0.0
13,2017,79.02,79.02,0.0,0.0
13,2018,65.96,65.96,0.0,0.0
13,2019,77.73,77.73,0.0,0.0
13,2020,83.8,83.8,0.0,0.0
13,2021,87.66,87.66,0.0,0.0
13,2022,94.89,94.89,0.0,0.0
13,2023,91.58,91.58,0.0,0.0
13,2024,63.25,63.25,0.0,0.0
13,2025,69.58,69.58,0.0,0.0
14,2010,284.69,36.79,821.5,100.0
14,2011,282.4,36.07,821.5,100.0
14,2012,263.75,38.62,821.5,100.0
14,2013,237.17,39.58,821.5,100.0
14,2014,295.28,40.6,821.5,100.0
14,2015,279.51,41.85,821.5,100.0
14,2016,268.91,42.61,821.5,100.0
14,2017,237.13,45.64,821.5,100.0
14,2018,268.66,46.44,821.5,100.0
14,2019,228.65,46.86,821.5,100.0
14,2020,233.89,47.66,821.5,100.0
14,2021,256.54,50.56,821.5,100.0
14,2022,263.56,51.86,821.5,100.0
14,2023,254.61,53.88,821.5,100.0
14,2024,265.52,54.95,821.5,100.0
14,2025,274.88,57.92,821.5,100.0
15,2010,354.91,36.79,651.1,100.0
15,2011,297.96,36.07,651.1,100.0
15,2012,299.31,38.62,651.1,100.0
15,2013,312.32,39.58,651.1,100.0
15,2014,335.37,40.6,651.1,100.0
15,2015,322.99,41.85,651.1,100.0
15,2016,296.17,42.61,651.1,100.0
15,2017,270.86,45.64,651.1,100.0
15,2018,311.67,46.44,651.1,100.0
15,2019,285.94,46.86,651.1,100.0
15,2020,309.63,47.66,651.1,100.0
15,2021,287.03,50.56,651.1,100.0
15,2022,334.57,51.86,651.1,100.0
15,2023,288.55,53.88,651.1,100.0
15,2024,356.81,54.95,651.1,100.0
15,2025,262.22,57.92,651.1,100.0
16,2010,362.14,60.39,1085.1,100.0
16,2011,335.25,59.9,1085.1,100.0
16,2012,388.37,61.92,1085.1,100.0
16,2013,357.01,63.1,1085.1,100.0
16,2014,431.0,65.88,1085.1,100.0
16,2015,504.08,67.94,1085.1,100.0
16,2016,427.91,68.24,1085.1,100.0
16,2017,345.7,69.16,1085.1,100.0
16,2018,369.07,71.36,1085.1,100.0
16,2019,277.25,75.36,1085.1,100.0
16,2020,387.89,78.25,1085.1,100.0
16,2021,405.5,78.45,1085.1,100.0
16,2022,419.74,80.49,1085.1,100.0
16,2023,399.25,83.18,1085.1,100.0
16,2024,417.51,88.78,1085.1,100.0
16,2025,324.66,88.7,1085.1,100.0
17,2010,540.74,60.39,1477.7,100.0
17,2011,520.81,59.9,1477.7,100.0
17,2012,503.08,61.92,1477.7,100.0
17,2013,539.94,63.1,1477.7,100.0
17,2014,512.36,65.88,1477.7,100.0
17,2015,637.63,67.94,1477.7,100.0
17,2016,551.15,68.24,1477.7,100.0
17,2017,460.55,69.16,1477.7,100.0
17,2018,521.24,71.36,1477.7,100.0
17,2019,430.06,75.36,1477.7,100.0
17,2020,477.55,78.25,1477.7,100.0
17,2021,543.34,78.45,1477.7,100.0
17,2022,573.89,80.49,1477.7,100.0
17,2023,527.28,83.18,1477.7,100.0
17,2024,480.51,88.78,1477.7,100.0
17,2025,447.14,88.7,1477.7,100.0
18,2010,321.31,61.41,977.02,78.6
18,2011,277.18,65.49,1188.71,95.6
18,2012,352.91,63.24,1243.0,100.0
18,2013,336.81,67.05,1243.0,100.0
18,2014,290.55,68.0,1243.0,100.0
18,2015,290.54,69.13,1243.0,100.0
18,2016,219.72,74.96,1243.0,100.0
18,2017,287.24,72.26,1243.0,100.0
18,2018,276.25,77.28,1243.0,100.0
18,2019,334.76,73.92,1243.0,100.0
18,2020,330.77,74.78,1243.0,100.0
18,2021,309.71,79.55,1243.0,100.0
18,2022,244.82,79.85,1243.0,100.0
18,2023,210.16,82.92,1243.0,100.0
18,2024,199.62,87.23,1243.0,100.0
18,2025,250.94,87.46,1243.0,100.0
19,2010,293.47,61.41,763.26,87.4
19,2011,251.52,65.49,872.9,100.0
19,2012,296.8,63.24,872.9,100.0
19,2013,276.01,67.05,872.9,100.0
19,2014,302.57,68.0,872.9,100.0
19,2015,284.45,69.13,872.9,100.0
19,2016,223.16,74.96,872.9,100.0
19,2017,254.67,72.26,872.9,100.0
19,2018,252.88,77.28,872.9,100.0
19,2019,272.98,73.92,872.9,100.0
19,2020,256.21,74.78,872.9,100.0
19,2021,248.77,79.55,872.9,100.0
19,2022,250.8,79.85,872.9,100.0
19,2023,200.8,82.92,872.9,100.0
19,2024,201.45,87.23,872.9,100.0
19,2025,246.96,87.46,872.9,100.0
20,2010,390.66,177.0,880.61,79.9
20,2011,360.6,189.2,1052.01,95.4
20,2012,362.23,193.56,1102.7,100.0
20,2013,371.57,199.08,1102.7,100.0
20,2014,430.1,199.76,1102.7,100.0
20,2015,334.04,212.9,1102.7,100.0
20,2016,384.12,204.44,1102.7,100.0
20,2017,292.25,220.21,1102.7,100.0
20,2018,318.7,219.82,1102.7,100.0
20,2019,373.69,229.6,1102.7,100.0
20,2020,381.44,232.08,1102.7,100.0
20,2021,363.35,242.55,1102.7,100.0
20,2022,380.96,256.12,1102.7,100.0
20,2023,365.87,255.03,1102.7,100.0
20,2024,287.98,270.5,1102.7,100.0
20,2025,306.19,273.58,1102.7,100.0
21,2010,313.44,177.0,826.69,81.0
21,2011,267.56,189.2,905.05,88.7
21,2012,306.15,193.56,1017.64,99.7
21,2013,290.31,199.08,1020.3,100.0
21,2014,366.51,199.76,1020.3,100.0
21,2015,288.61,212.9,1020.3,100.0
21,2016,309.55,204.44,1020.3,100.0
21,2017,251.81,220.21,1020.3,100.0
21,2018,256.09,219.82,1020.3,100.0
21,2019,323.07,229.6,1020.3,100.0
21,2020,317.6,232.08,1020.3,100.0
21,2021,311.09,242.55,1020.3,100.0
21,2022,308.74,256.12,1020.3,100.0
21,2023,277.73,255.03,1020.3,100.0
21,2024,251.13,270.5,1000.93,98.1
21,2025,256.22,273.58,983.57,96.4
22,2010,986.95,136.46,1404.8,100.0
22,2011,1063.76,138.2,1404.8,100.0
22,2012,878.38,146.18,1404.8,100.0
22,2013,845.05,151.46,1404.8,100.0
22,2014,1000.59,154.12,1404.8,100.0
22,2015,1023.79,151.39,1404.8,100.0
22,2016,995.83,158.17,1404.8,100.0
22,2017,941.98,156.6,1404.8,100.0
22,2018,843.39,164.5,1404.8,100.0
22,2019,942.16,172.33,1404.8,100.0
22,2020,841.84,174.24,1404.8,100.0
22,2021,900.67,174.52,1404.8,100.0
22,2022,1018.05,179.4,1404.8,100.0
22,2023,1055.16,181.9,1404.8,100.0
22,2024,988.43,192.94,1404.8,100.0
22,2025,866.83,193.28,1404.8,100.0
23,2010,475.58,136.46,670.6,100.0
23,2011,490.0,138.2,670.6,100.0
23,2012,462.64,146.18,670.6,100.0
23,2013,462.05,151.46,670.6,100.0
23,2014,542.89,154.12,670.6,100.0
23,2015,576.08,151.39,670.6,100.0
23,2016,530.31,158.17,670.6,100.0
23,2017,475.44,156.6,670.6,100.0
23,2018,465.2,164.5,670.6,100.0
23,2019,478.81,172.33,670.6,100.0
23,2020,452.34,174.24,670.6,100.0
23,2021,489.94,174.52,670.6,100.0
23,2022,511.24,179.4,670.6,100.0
23,2023,498.22,181.9,670.6,100.0
23,2024,495.46,192.94,670.6,100.0
23,2025,506.19,193.28,670.6,100.0
24,2010,98.26,133.64,189.42,48.1
24,2011,104.55,138.29,155.67,39.5
24,2012,118.94,130.82,143.79,36.5
24,2013,127.73,141.14,130.37,33.1
24,2014,96.32,139.16,87.54,22.2
24,2015,109.18,144.43,52.29,13.3
24,2016,69.19,121.48,0.0,0.0
24,2017,80.99,80.99,0.0,0.0
24,2018,91.2,91.2,0.0,0.0
24,2019,113.69,113.69,0.0,0.0
24,2020,113.72,113.72,0.0,0.0
24,2021,112.11,112.11,0.0,0.0
24,2022,86.82,86.82,0.0,0.0
24,2023,65.7,65.7,0.0,0.0
24,2024,75.79,75.79,0.0,0.0
24,2025,94.03,94.03,0.0,0.0
25,2010,158.59,133.64,503.12,67.4
25,2011,188.74,138.29,553.57,74.2
25,2012,218.73,130.82,641.47,86.0
25,2013,232.23,141.14,732.56,98.2
25,2014,167.59,139.16,746.1,100.0
25,2015,222.5,144.43,746.1,100.0
25,2016,140.89,160.96,726.03,97.3
25,2017,159.41,163.06,722.38,96.8
25,2018,178.13,161.52,738.99,99.0
25,2019,226.27,162.47,746.1,100.0
25,2020,228.47,175.24,746.1,100.0
25,2021,190.63,173.84,746.1,100.0
25,2022,148.74,191.5,703.34,94.3
25,2023,111.9,191.11,624.13,83.7
25,2024,146.62,196.58,574.17,77.0
25,2025,171.17,203.92,541.42,72.6
26,2010,458.45,288.58,702.19,88.7
26,2011,474.86,294.94,791.9,100.0
26,2012,377.86,312.0,791.9,100.0
26,2013,365.01,327.23,791.9,100.0
26,2014,391.91,332.56,791.9,100.0
26,2015,386.72,351.04,791.9,100.0
26,2016,465.04,351.86,791.9,100.0
26,2017,419.57,383.02,791.9,100.0
26,2018,463.86,380.78,791.9,100.0
26,2019,363.54,401.98,753.45,95.1
26,2020,368.65,419.61,702.49,88.7
26,2021,349.5,435.38,616.61,77.9
26,2022,378.37,453.62,541.37,68.4
26,2023,445.26,447.55,539.07,68.1
26,2024,394.95,459.97,474.06,59.9
26,2025,406.45,499.62,380.89,48.1
27,2010,700.92,288.58,1417.37,90.1
27,2011,667.21,294.94,1573.1,100.0
27,2012,735.01,312.0,1573.1,100.0
27,2013,623.07,327.23,1573.1,100.0
27,2014,649.74,332.56,1573.1,100.0
27,2015,616.38,351.04,1573.1,100.0
27,2016,653.26,351.86,1573.1,100.0
27,2017,600.64,383.02,1573.1,100.0
27,2018,752.07,380.78,1573.1,100.0
27,2019,591.89,401.98,1573.1,100.0
27,2020,669.77,419.61,1573.1,100.0
27,2021,559.53,435.38,1573.1,100.0
27,2022,631.17,453.62,1573.1,100.0
27,2023,715.75,447.55,1573.1,100.0
27,2024,635.08,459.97,1573.1,100.0
27,2025,631.53,499.62,1573.1,100.0
28,2010,495.58,162.88,1307.0,100.0
28,2011,490.42,164.56,1307.0,100.0
28,2012,450.82,175.5,1307.0,100.0
28,2013,576.04,175.44,1307.0,100.0
28,2014,592.33,173.11,1307.0,100.0
28,2015,551.14,185.43,1307.0,100.0
28,2016,558.04,193.29,1307.0,100.0
28,2017,460.71,200.65,1307.0,100.0
28,2018,412.15,207.51,1307.0,100.0
28,2019,524.85,201.38,1307.0,100.0
28,2020,611.96,211.75,1307.0,100.0
28,2021,524.87,212.5,1307.0,100.0
28,2022,514.87,220.15,1307.0,100.0
28,2023,479.56,235.87,1307.0,100.0
28,2024,513.65,245.73,1307.0,100.0
28,2025,398.27,257.81,1307.0,100.0
