region_id,year,population,domestic_mcm,agriculture_mcm,industrial_mcm,ecological_mcm,total_mcm
13,2024,3864995,182.64,254.81,89.73,13.84,541.01
13,2025,3939203,184.62,256.43,92.12,13.99,547.15
14,2010,1888871,82.86,121.93,37.61,30.53,272.93
14,2011,1916826,84.39,121.84,39.07,31.09,276.39
14,2012,1945195,86.82,132.55,40.99,31.99,292.35
14,2013,1973984,89.8,136.82,43.21,33.09,302.91
14,2014,2003199,92.44,136.43,45.32,34.06,308.25
14,2015,2032846,91.83,131.27,45.85,33.83,302.78
14,2016,2062932,94.16,139.61,47.88,34.69,316.34
14,2017,2093464,92.72,138.35,47.98,34.16,313.21
14,2018,2124447,96.6,145.95,50.87,35.59,329.01
14,2019,2155889,100.53,153.24,53.85,37.04,344.66
14,2020,2187796,102.36,152.66,55.76,37.71,348.49
14,2021,2220175,103.03,150.98,57.06,37.96,349.03
14,2022,2253034,106.46,153.19,59.92,39.22,358.79
14,2023,2286379,107.7,154.83,61.6,39.68,363.81
14,2024,2320217,111.35,168.82,64.7,41.02,385.89
14,2025,2354556,111.51,168.17,65.8,41.08,386.56
15,2010,2128536,92.57,134.52,23.27,16.93,267.28
15,2011,2168339,96.09,138.29,24.64,17.57,276.59
15,2012,2208887,91.99,128.78,24.05,16.82,261.65
15,2013,2250193,100.8,136.18,26.87,18.43,282.28
15,2014,2292272,94.94,140.23,25.78,17.36,278.31
15,2015,2335137,101.22,141.13,28.0,18.51,288.85
15,2016,2378804,108.29,163.34,30.49,19.8,321.92
15,2017,2423288,110.9,163.16,31.79,20.28,326.13
15,2018,2468604,109.84,161.1,32.03,20.08,323.05
15,2019,2514767,113.46,157.06,33.66,20.75,324.94
15,2020,2561793,121.05,170.78,36.52,22.13,350.48
15,2021,2609698,119.42,169.79,36.63,21.84,347.69
15,2022,2658500,128.97,190.24,40.21,23.58,382.99
15,2023,2708214,126.33,192.78,40.02,23.1,382.22
15,2024,2758857,130.35,197.03,41.95,23.84,393.17
15,2025,2810448,136.61,201.59,44.65,24.98,407.83
16,2010,3912929,171.84,276.46,57.08,71.79,577.17
16,2011,4017795,173.31,285.44,58.72,72.41,589.89
16,2012,4125472,182.1,302.9,62.91,76.08,624.0
16,2013,4236035,188.19,321.38,66.27,78.63,654.46
16,2014,4349560,189.02,329.31,67.81,78.97,665.12
16,2015,4466129,199.48,346.37,72.89,83.34,702.09
16,2016,4585821,203.81,338.92,75.83,85.16,703.71
16,2017,4708721,217.41,375.46,82.33,90.83,766.04
16,2018,4834915,220.39,364.16,84.93,92.08,761.56
16,2019,4964490,225.94,395.06,88.57,94.4,803.97
16,2020,5097539,233.94,414.29,93.25,97.74,839.22
16,2021,5234153,242.94,427.84,98.46,101.5,870.75
16,2022,5374428,252.6,445.05,104.05,105.54,907.24
16,2023,5518463,252.27,431.83,105.59,105.4,895.1
16,2024,5666357,260.03,440.71,110.57,108.64,919.94
16,2025,5818216,280.0,481.33,120.92,116.99,999.24
17,2010,1248390,54.23,85.54,14.12,8.98,162.88
17,2011,1273108,54.45,86.62,14.46,9.02,164.56
17,2012,1298315,57.94,92.26,15.69,9.6,175.5
17,2013,1324022,59.41,89.8,16.4,9.84,175.44
17,2014,1350237,58.48,88.5,16.44,9.69,173.11
17,2015,1376972,62.1,95.25,17.79,10.29,185.43
17,2016,1404236,64.28,99.61,18.74,10.65,193.29
17,2017,1432040,65.4,105.0,19.41,10.84,200.65
17,2018,1460395,67.36,108.64,20.34,11.16,207.51
17,2019,1489310,66.25,103.8,20.35,10.98,201.38
17,2020,1518799,70.31,107.82,21.97,11.65,211.75
17,2021,1548871,71.14,106.98,22.6,11.79,212.5
17,2022,1579539,72.63,112.05,23.45,12.03,220.15
17,2023,1610813,76.45,121.68,25.08,12.67,235.87
17,2024,1642708,79.26,126.92,26.42,13.13,245.73
17,2025,1675233,81.71,134.91,27.66,13.54,257.81
